municipio;data;populacaoTCU2019; casos ;obitos
Belo Horizonte;02/04/2020;2512070;22;1
Belo Horizonte;03/04/2020;2512070;15;0
Belo Horizonte;04/04/2020;2512070;12;0
Belo Horizonte;05/04/2020;2512070;25;0
Belo Horizonte;06/04/2020;2512070;2;1
Belo Horizonte;07/04/2020;2512070;11;1
Belo Horizonte;08/04/2020;2512070;24;1
Belo Horizonte;09/04/2020;2512070;11;0
Belo Horizonte;10/04/2020;2512070;20;0
Belo Horizonte;11/04/2020;2512070;8;0
Belo Horizonte;12/04/2020;2512070;17;0
Belo Horizonte;13/04/2020;2512070;2;0
Belo Horizonte;14/04/2020;2512070;16;0
Belo Horizonte;15/04/2020;2512070;7;0
Belo Horizonte;16/04/2020;2512070;10;1
Belo Horizonte;17/04/2020;2512070;16;1
Belo Horizonte;18/04/2020;2512070;14;0
Belo Horizonte;19/04/2020;2512070;28;0
Belo Horizonte;20/04/2020;2512070;12;0
Belo Horizonte;21/04/2020;2512070;7;0
Belo Horizonte;22/04/2020;2512070;20;1
Belo Horizonte;23/04/2020;2512070;4;0
Belo Horizonte;24/04/2020;2512070;28;2
Belo Horizonte;25/04/2020;2512070;9;0
Belo Horizonte;26/04/2020;2512070;16;0
Belo Horizonte;27/04/2020;2512070;15;0
Belo Horizonte;28/04/2020;2512070;10;3
Belo Horizonte;29/04/2020;2512070;8;2
Belo Horizonte;30/04/2020;2512070;16;1
Belo Horizonte;01/05/2020;2512070;17;3
Belo Horizonte;02/05/2020;2512070;16;0
Belo Horizonte;03/05/2020;2512070;20;0
Belo Horizonte;04/05/2020;2512070;199;0
Belo Horizonte;05/05/2020;2512070;6;2
Belo Horizonte;06/05/2020;2512070;6;1
Belo Horizonte;07/05/2020;2512070;58;2
Belo Horizonte;08/05/2020;2512070;11;0
Belo Horizonte;09/05/2020;2512070;34;1
Belo Horizonte;10/05/2020;2512070;13;0
Belo Horizonte;11/05/2020;2512070;6;0
Belo Horizonte;12/05/2020;2512070;13;0
Belo Horizonte;13/05/2020;2512070;56;2
Belo Horizonte;14/05/2020;2512070;20;0
Belo Horizonte;15/05/2020;2512070;20;1
Belo Horizonte;16/05/2020;2512070;62;0
Belo Horizonte;17/05/2020;2512070;10;2
Belo Horizonte;18/05/2020;2512070;29;0
Belo Horizonte;19/05/2020;2512070;60;2
Belo Horizonte;20/05/2020;2512070;38;2
Belo Horizonte;21/05/2020;2512070;29;1
Belo Horizonte;22/05/2020;2512070;35;3
Belo Horizonte;23/05/2020;2512070;42;3
Belo Horizonte;24/05/2020;2512070;41;0
Belo Horizonte;25/05/2020;2512070;10;0
Belo Horizonte;26/05/2020;2512070;90;1
Belo Horizonte;27/05/2020;2512070;79;0
Belo Horizonte;28/05/2020;2512070;61;3
Belo Horizonte;29/05/2020;2512070;92;2
Belo Horizonte;30/05/2020;2512070;12;1
Belo Horizonte;31/05/2020;2512070;74;0
Belo Horizonte;01/06/2020;2512070;30;0
Belo Horizonte;02/06/2020;2512070;30;2
Belo Horizonte;03/06/2020;2512070;117;0
Belo Horizonte;04/06/2020;2512070;115;4
